sku,category,brand,name,variant,price,currency,image_url,retailer_url
LIP-0001,lipstick,Maybelline,SuperStay Matte Ink,Lover,649,INR,https://images.sample/maybelline_lover.jpg,https://www.nykaa.com/product1
LIP-0002,lipstick,MAC,Retro Matte Lipstick,Ruby Woo,2200,INR,https://images.sample/mac_ruby.jpg,https://www.nykaa.com/product2
LIP-0003,lipstick,Lakme,Forever Matte Liquid Lip Color,Crimson,349,INR,https://images.sample/lakme_crimson.jpg,https://www.nykaa.com/product3
LIP-0004,lipstick,L'Oreal,Colour Riche Matte,Graceful 234,799,INR,https://images.sample/loreal_graceful.jpg,https://www.nykaa.com/product4
LIP-0005,lipstick,Huda Beauty,Power Bullet Matte Lipstick,Interview,2400,INR,https://images.sample/huda_interview.jpg,https://www.nykaa.com/product5
LIP-0006,lipstick,Swiss Beauty,Matte Lip Crayon,Rose Pink,249,INR,https://images.sample/swiss_rose.jpg,https://www.nykaa.com/product6
LIP-0007,lipstick,Insight,Matte Lipstick,Shade 12,120,INR,https://images.sample/insight_12.jpg,https://www.nykaa.com/product7
LIP-0008,lipstick,Lakme,Absolute Matte Melt Liquid Lip Color,Red Smoke,850,INR,https://images.sample/lakme_redsmoke.jpg,https://www.nykaa.com/product8
LIP-0009,lipstick,MAC,Lustre Lipstick,Syrup,1950,INR,https://images.sample/mac_syrup.jpg,https://www.nykaa.com/product9
LIP-0010,lipstick,Maybelline,Color Sensational Creamy Matte,Nude Nuance,399,INR,https://images.sample/mayb_nude.jpg,https://www.nykaa.com/product10
LIP-0011,lipstick,L'Oreal,Infallible Le Rouge,Everlasting Plum,950,INR,https://images.sample/loreal_plum.jpg,https://www.nykaa.com/product11
LIP-0012,lipstick,Huda Beauty,Matte Power Bullet,Prom Night,2400,INR,https://images.sample/huda_prom.jpg,https://www.nykaa.com/product12
LIP-0013,lipstick,Swiss Beauty,Pure Matte Lipstick,Deep Maroon,229,INR,https://images.sample/swiss_maroon.jpg,https://www.nykaa.com/product13
LIP-0014,lipstick,Insight,Super Matte Lipstick,Shade 08,125,INR,https://images.sample/insight_08.jpg,https://www.nykaa.com/product14
LIP-0015,lipstick,Lakme,Enrich Matte Lipstick,Shade WM10,299,INR,https://images.sample/lakme_wm10.jpg,https://www.nykaa.com/product15
LIP-0016,lipstick,MAC,Amplified Lipstick,Brick-O-La,2100,INR,https://images.sample/mac_brickola.jpg,https://www.nykaa.com/product16
LIP-0017,lipstick,Maybelline,Sensational Liquid Matte,Soft Wine,349,INR,https://images.sample/mayb_softwine.jpg,https://www.nykaa.com/product17
LIP-0018,lipstick,Huda Beauty,Silk Balm Icy,Blueberry,2200,INR,https://images.sample/huda_blue.jpg,https://www.nykaa.com/product18
LIP-0019,lipstick,Swiss Beauty,Luxe Matte Lipstick,Coffee Brown,249,INR,https://images.sample/swiss_coffee.jpg,https://www.nykaa.com/product19
LIP-0020,lipstick,Insight,Matte Crayon,Shade 15,149,INR,https://images.sample/insight_15.jpg,https://www.nykaa.com/product20

FND-0001,foundation,Maybelline,Fit Me Matte + Poreless,128 Warm Nude,649,INR,https://images.sample/fitme_128.jpg,https://www.nykaa.com/fnd1
FND-0002,foundation,Lakme,9to5 Primer + Matte,Classic Ivory,495,INR,https://images.sample/lakme_ivory.jpg,https://www.nykaa.com/fnd2
FND-0003,foundation,L'Oreal,Infallible 24H,Golden Beige,899,INR,https://images.sample/infallible_gb.jpg,https://www.nykaa.com/fnd3
FND-0004,foundation,MAC,Studio Fix Fluid Foundation,NW20,3300,INR,https://images.sample/mac_fix.jpg,https://www.nykaa.com/fnd4
FND-0005,foundation,Huda Beauty,Faux Filter Foundation,Toasted Coconut,3300,INR,https://images.sample/huda_toasted.jpg,https://www.nykaa.com/fnd5
FND-0006,foundation,Swiss Beauty,Liquid Foundation,Natural Beige,349,INR,https://images.sample/swiss_beige.jpg,https://www.nykaa.com/fnd6
FND-0007,foundation,Insight,HD Foundation,Warm Sand,220,INR,https://images.sample/insight_warm.jpg,https://www.nykaa.com/fnd7
FND-0008,foundation,Lakme,Absolute Argan Oil Serum Foundation,Silk Golden,750,INR,https://images.sample/lakme_argan.jpg,https://www.nykaa.com/fnd8
FND-0009,foundation,Maybelline,Dream Satin Skin Foundation,B2 Beige,700,INR,https://images.sample/mayb_dream.jpg,https://www.nykaa.com/fnd9
FND-0010,foundation,L'Oreal,True Match Super Blendable Foundation,Neutral Beige,799,INR,https://images.sample/loreal_true.jpg,https://www.nykaa.com/fnd10
FND-0011,foundation,MAC,Pro Longwear Nourishing Waterproof Foundation,NC25,3600,INR,https://images.sample/mac_prolong.jpg,https://www.nykaa.com/fnd11
FND-0012,foundation,Huda Beauty,Glowish Skin Tint,Light Beige,3100,INR,https://images.sample/huda_glowish.jpg,https://www.nykaa.com/fnd12
FND-0013,foundation,Swiss Beauty,Airbrush Foundation,Natural,399,INR,https://images.sample/swiss_airbrush.jpg,https://www.nykaa.com/fnd13
FND-0014,foundation,Insight,Second Skin Foundation,Porcelain,250,INR,https://images.sample/insight_skin.jpg,https://www.nykaa.com/fnd14
FND-0015,foundation,Lakme,CC Cream,Beige,299,INR,https://images.sample/lakme_cc.jpg,https://www.nykaa.com/fnd15
FND-0016,foundation,Maybelline,Super Stay 24H Full Coverage,Sun Beige,799,INR,https://images.sample/mayb_superstay.jpg,https://www.nykaa.com/fnd16
FND-0017,foundation,L'Oreal,Matte Magique Foundation,N7 Pure Beige,595,INR,https://images.sample/loreal_magique.jpg,https://www.nykaa.com/fnd17
FND-0018,foundation,MAC,Face and Body Foundation,C2,2800,INR,https://images.sample/mac_facebody.jpg,https://www.nykaa.com/fnd18
FND-0019,foundation,Swiss Beauty,Ultra Base Foundation,Soft Beige,320,INR,https://images.sample/swiss_ultra.jpg,https://www.nykaa.com/fnd19
